,0,1
0,10.058354,3.1879818
1,-3.2078838,2.6325204
2,-0.80059814,7.9919443
3,10.148517,-0.40703994
4,3.4967804,12.582548
5,9.213332,-1.7141119
6,2.0093312,10.142343
7,3.4184132,11.557292
8,5.328626,7.5723224
9,7.4481163,-4.989176
10,-3.710579,-2.9851182
11,6.8285127,-0.6762145
12,7.362332,-7.173418
13,3.3900385,3.824531
14,-1.9505204,7.688766
15,-5.721975,4.934812
16,9.35785,4.0433702
17,4.6079206,3.0934784
18,5.809697,3.573768
19,0.296693,6.503474
20,9.015959,-5.0080733
21,3.5125487,7.7197914
22,-4.9542484,3.7502818
23,3.3975248,14.539803
24,12.508486,0.74496156
25,6.69916,1.597105
26,5.0686135,4.6929307
27,-2.474273,-4.1421437
28,6.883253,7.845963
29,2.0434778,2.4528522
30,-3.2379506,-4.910993
31,8.228472,-5.151063
32,7.749179,9.512291
33,2.2821164,11.437315
34,9.744621,2.4960442
35,5.494036,4.0752144
36,8.17462,-4.824437
37,-2.1079395,2.3109267
38,5.1676836,1.7488852
39,3.6509292,6.9434466
40,-4.5009494,6.4867353
41,6.1508822,-4.734349
42,9.943451,3.307863
43,4.9317617,8.513714
44,10.835311,-0.31305486
45,6.4320087,1.8412747
46,-4.3031135,3.8729346
47,9.383518,0.5308196
48,7.61646,5.2220106
49,3.3141499,6.3049273
50,6.7747016,4.1156764
51,-4.812229,3.7452824
52,-1.5944108,7.384245
53,6.8399696,-1.094056
54,2.299477,11.502094
55,7.051731,6.844704
56,-3.5911767,2.9386032
57,8.6093,9.84721
58,11.2995615,0.9405451
59,9.507693,-0.85366434
60,6.5790863,0.88880825
61,7.983325,-5.3172574
62,5.100799,12.802707
63,4.2639303,10.275005
64,3.4047801,6.3126783
65,0.38331512,9.4629135
66,3.9501233,11.620016
67,3.52342,11.309916
68,1.910154,2.335174
69,-2.2298105,-1.578981
70,5.328983,5.580477
71,8.690009,7.41228
72,7.184589,0.27221653
73,-2.0738611,3.3117168
74,1.0621848,6.0592947
75,9.208805,-4.5460057
76,4.9693613,5.064919
77,1.5849805,10.367668
78,1.9738536,5.827895
79,6.6780562,10.1737795
80,7.8109064,3.0054853
81,0.31971192,7.497085
82,1.7357178,2.4836676
83,2.791448,14.140909
84,-5.5549564,6.1514087
85,-1.4937793,9.884044
86,7.3432794,-5.974592
87,4.8793917,4.7070413
88,-2.8612528,-4.108298
89,2.3011653,10.830832
90,7.124545,-1.191012
91,9.418524,-1.4782048
92,3.1562722,7.639682
93,3.1319702,10.124588
94,-1.2876122,5.4239097
95,-0.31998962,7.9941483
96,5.039746,9.410959
97,7.2650447,-6.3780985
98,7.502265,-1.208308
99,0.49657372,9.110561
100,-4.3023515,4.4979177
101,8.950691,-5.0065565
102,1.6584356,4.448064
103,-3.5835202,5.4708266
104,10.902904,2.673942
105,2.2077599,7.947917
106,1.5627143,3.2623982
107,7.770872,8.736666
108,9.507824,1.513281
109,12.177258,1.2165346
110,-3.186931,-5.040269
111,12.0735,2.0164948
112,1.9159421,4.1595926
113,-4.1517572,3.7290773
114,6.915919,8.942111
115,-3.5006406,3.623914
116,5.538791,11.891935
117,6.9583054,3.7385087
118,7.3620415,-1.922512
119,7.061688,7.9648905
120,6.144889,0.33244282
121,5.932888,9.999207
122,-1.1691167,7.810123
123,2.5485492,14.224684
124,-2.7019093,8.581822
125,-2.9500372,-1.548678
126,5.9938164,-4.644975
127,7.809045,-6.611853
128,5.49289,1.9695839
129,-2.982825,-0.50080967
130,5.9743385,3.3298635
131,3.593961,7.1997323
132,8.639455,-0.7516716
133,5.6777115,10.981428
134,-4.817995,6.525275
135,1.0817938,6.0404835
136,-2.214015,0.5270211
137,6.998915,10.008676
138,9.286604,-1.779155
139,6.9040604,0.881708
140,5.7813306,13.345739
